OlinkID,epvs_1_nobs,epvs_1_beta,epvs_1_se,epvs_1_pvalue,epvs_1_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,932,-0.02807729538754705,0.028946567794693477,0.33231705305882975,0.9718286398262306,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,932,-0.027773961639297767,0.030410674639988994,0.36132643562586975,0.9718286398262306,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,932,-0.0046108779973632235,0.030741523697741868,0.8808065587896314,0.9834581218857684,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,932,-0.034793714128016975,0.030741655446105118,0.2580098672205935,0.9718286398262306,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,932,0.03699018504445782,0.03056301671762942,0.22647826892415504,0.9718286398262306,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,932,-0.04874286002667417,0.030817298574092763,0.1140689056376681,0.9718286398262306,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,932,0.02360205312209171,0.030538106659387443,0.4397969751164911,0.9718286398262306,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,932,-0.01262273982856897,0.03104114155518496,0.6843631753156963,0.9736401626865119,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,932,0.03051826032890404,0.030218436754807537,0.3127988348308936,0.9718286398262306,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,932,-6.513339406360111e-4,0.03204323093213786,0.9837871538671672,0.9997791224054497,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,932,0.05205721130743098,0.032068154162468485,0.10486209697870616,0.9718286398262306,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,932,-0.00381084578421751,0.030745791983704293,0.9013844468107773,0.9886724032993203,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,932,0.05115636682815887,0.030595920275220876,0.09486517287531332,0.9718286398262306,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,932,0.042710284698950725,0.03070421307661894,0.16455531897382172,0.9718286398262306,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
OID20433,932,0.03264058971463763,0.032384808357959934,0.31376892632208947,0.9718286398262306,82.36731004574459,O95379,TNFAIP8,Inflammation,Unique Protein
OID20434,932,0.009660366978223218,0.02961079185816544,0.7443135041374709,0.9736401626865119,48.03796732575595,Q8WV07,LTO1,Inflammation,Unique Protein
OID20435,932,0.024074150570556695,0.03254095766113813,0.4596039753382092,0.9718286398262306,29.017743628845672,O43707,ACTN4,Inflammation,Unique Protein
OID20436,932,-0.05945102133192145,0.030309488070896798,0.05012662230658655,0.9718286398262306,54.69405784157634,P28838,LAP3,Inflammation,Unique Protein
OID20437,932,0.006572377263479613,0.03257286266453809,0.8401376197471322,0.9767602600015238,20.55292359496504,Q9NP70,AMBN,Inflammation,Unique Protein
OID20438,932,-0.05152572983389312,0.03135229575421343,0.10063360646872568,0.9718286398262306,19.364964768188074,Q6UXK5,LRRN1,Inflammation,Unique Protein
OID20439,932,0.033106144221984074,0.03013283573300181,0.2721986230653554,0.9718286398262306,22.640700870887816,Q9HCU5,PREB,Inflammation,Unique Protein
OID20440,932,-0.033694751802278905,0.029867273253787942,0.2595515046896616,0.9718286398262306,75.51413479301999,Q13007,IL24,Inflammation,Unique Protein
OID20441,932,0.010873852364723357,0.030934972040121862,0.7252888503711257,0.9736401626865119,56.82637189594944,Q9UPV0,CEP164,Inflammation,Unique Protein
OID20442,932,-0.029529392157566753,0.030596945991631194,0.33474431813491645,0.9718286398262306,44.44320334646435,O60934,NBN,Inflammation,Unique Protein
OID20443,932,1.1342864666181093e-4,0.030363578990724338,0.9970201763150435,0.9997791224054497,44.00918429661865,Q96P31,FCRL3,Inflammation,Unique Protein
OID20444,932,-0.04283799413258083,0.030152271699782896,0.1557371716387351,0.9718286398262306,46.23530058211611,Q9Y478,PRKAB1,Inflammation,Unique Protein
OID20445,932,0.039076523123581536,0.02887100114681028,0.17623328037053768,0.9718286398262306,49.70535334698695,Q8TCS8,PNPT1,Inflammation,Unique Protein
OID20446,932,-0.012098400750618476,0.02957390381760361,0.6825687285470035,0.9736401626865119,45.46664449338745,Q5T4W7,ARTN,Inflammation,Unique Protein
OID20447,932,0.02501861854425102,0.03062358946079632,0.41415632920605117,0.9718286398262306,38.675053486387775,Q5R372,RABGAP1L,Inflammation,Unique Protein
OID20448,932,-0.043821078833047644,0.030164696292343453,0.14664118952395716,0.9718286398262306,45.278415623434164,Q969V3,NCLN,Inflammation,Unique Protein
OID20449,932,-0.019891812289027224,0.03296684098077937,0.5463993303375498,0.9718286398262306,26.739425433157088,Q8N6P7,IL22RA1,Inflammation,Unique Protein
OID20450,932,-0.04702510110654956,0.030352251022321912,0.12165143916894908,0.9718286398262306,80.80649988561991,P14784,IL2RB,Inflammation,Unique Protein
OID20451,932,0.01155712684873925,0.030408827406749217,0.7039900612419423,0.9736401626865119,66.67122054021792,Q13459,MYO9B,Inflammation,Unique Protein
OID20452,932,0.02346554572102588,0.030223329803825142,0.4377098586934708,0.9718286398262306,43.18469629954743,P19801,AOC1,Inflammation,Unique Protein
OID20453,932,-0.020475740740386543,0.03126512778929061,0.5126919038505386,0.9718286398262306,40.919860523329646,Q9NYY1,IL20,Inflammation,Unique Protein
OID20454,932,0.0073730541006409335,0.029621947620485516,0.8034898584481158,0.9760690190740403,51.46574703245831,P57771,RGS8,Inflammation,Unique Protein
OID20455,932,-0.013169063034092671,0.030607092195662725,0.6671061878147233,0.9718286398262306,55.82004800111024,P20809,IL11,Inflammation,Unique Protein
OID20456,932,-0.043087079526426895,0.031299460256524615,0.16896920002934182,0.9718286398262306,35.59066468465264,Q96PD4,IL17F,Inflammation,Unique Protein
OID20457,932,0.03982504788767112,0.030751488289055343,0.19562484728408108,0.9718286398262306,27.715294351221438,O76038,SCGN,Inflammation,Unique Protein
OID20458,932,0.023170189066644097,0.03574062357626371,0.5169613240607955,0.9718286398262306,22.895760871873936,O95715,CXCL14,Inflammation,Unique Protein
OID20459,932,-0.016831811201179055,0.032905543540878456,0.6091106895339706,0.9718286398262306,42.91391019809134,Q03426,MVK,Inflammation,Unique Protein
OID20460,932,-0.01112920637368365,0.0373768546989048,0.765956287854274,0.9736401626865119,24.723663701784666,O14904,WNT9A,Inflammation,Unique Protein
OID20461,932,0.001977542161253839,0.031116278164066844,0.9493397530526958,0.9922389107678242,25.622946262790535,P26951,IL3RA,Inflammation,Unique Protein
OID20462,932,0.009530194841872335,0.03103965272669249,0.7588879567351151,0.9736401626865119,50.50284146528743,Q9Y3P8,SIT1,Inflammation,Unique Protein
OID20463,932,-0.041765761706791533,0.031024913820514966,0.17857010788115846,0.9718286398262306,50.38439245319846,Q96DB9,FXYD5,Inflammation,Unique Protein
OID20464,932,-0.033882542160334476,0.02973153631338649,0.25474347284829096,0.9718286398262306,31.39252946275289,P48061,CXCL12,Inflammation,Unique Protein
OID20465,932,0.04339897929714322,0.029128123774119045,0.13658509728091642,0.9718286398262306,93.34567480944578,Q99748,NRTN,Inflammation,Unique Protein
OID20466,932,-0.07200930193622838,0.030475942040018224,0.018343931353184264,0.9718286398262306,52.523655670984105,Q13574,DGKZ,Inflammation,Unique Protein
OID20467,932,0.031446549757990216,0.028836934400034684,0.2757810437919017,0.9718286398262306,71.34113034190173,Q9Y2J8,PADI2,Inflammation,Unique Protein
OID20468,932,-0.026185596498337328,0.029458373793287206,0.3742888081120185,0.9718286398262306,34.678108091141276,Q04759,PRKCQ,Inflammation,Unique Protein
OID20469,932,-0.05403807644011557,0.03148610892110349,0.08645341775274053,0.9718286398262306,36.018458890942085,Q16552,IL17A,Inflammation,Unique Protein
OID20470,932,8.364376227222291e-4,0.029686493359526604,0.9775281448837895,0.9997791224054497,55.484820070661044,Q12968,NFATC3,Inflammation,Unique Protein
OID20471,932,0.005784208433663516,0.030640343703897868,0.8503089078205663,0.976922195146587,32.05506790402733,Q14435,GALNT3,Inflammation,Unique Protein
OID20472,932,0.029302025489608113,0.029132823208964237,0.3147729959357264,0.9718286398262306,227.40039641593364,P05113,IL5,Inflammation,Unique Protein
OID20474,932,0.010896298635032511,0.03218675829436661,0.735038535447502,0.9736401626865119,93.5573090043232,Q92844,TANK,Inflammation,Unique Protein
OID20475,932,-0.019895943175045203,0.030565321175069205,0.515253328531031,0.9718286398262306,53.147909247082914,O43597,SPRY2,Inflammation,Unique Protein
OID20476,932,0.07982005006934709,0.02900043463098096,0.006033158362457125,0.9718286398262306,57.45545121182689,P13693,TPT1,Inflammation,Unique Protein
OID20477,932,-0.021740844551852326,0.030774649581860693,0.4800857094010451,0.9718286398262306,29.84380214223052,Q9P0M4,IL17C,Inflammation,Unique Protein
