protein,Nobs_epvs,model_epvs,beta_epvs,SE_epvs,P_epvs,beta_time_epvs,SE_time_epvs,P_time_epvs,beta_int_time_epvs,SE_int_time_epvs,P_int_time_epvs,P_epvs_fdr,P_time_epvs_fdr,P_time_epvs_int_fdr
OID20419,2773,lmer,-0.006194374721652684,0.023141779822664205,0.7890119756793045,0.00515664713833505,0.019494663760601653,0.7914109022095697,0.015986996354764457,0.020808695299868025,0.44241470256390547,0.9860119730271941,0.8139669483316581,0.6408216925640712
OID20420,2773,lmer,-0.03218925413892696,0.03078366701352872,0.2959883798636288,0.04559837462341557,0.011205719797932777,4.911998343081543e-5,0.004133812310791908,0.01184182623353064,0.7270647726277767,0.9192210937719016,7.111327962767385e-5,0.8552154247046242
OID20421,2773,lmer,-0.020001953925032134,0.031595237605516226,0.5268440933451164,0.08322087024331616,0.012473159935047069,3.30532092090796e-11,0.0018393753652820057,0.013193134288227805,0.8891341585095011,0.9192210937719016,5.617123867333702e-11,0.942136491750104
OID20422,2773,lmer,-0.02342095282148369,0.027930014957212933,0.4019322048030477,0.03927195784194979,0.01420609162088215,0.0057570292239607235,0.004472968680293656,0.015072642682682408,0.7666824137790624,0.9192210937719016,0.0074856745647852285,0.8829988339503229
OID20423,2773,lmer,0.027330720791438792,0.029757275147864987,0.3586219968147947,-0.019934642884894074,0.013522292338164375,0.14059345948132704,-0.018833588693288005,0.014326867472725024,0.18882052463892404,0.9192210937719016,0.16405376529497762,0.3765819164092046
OID20424,2773,lmer,-0.047575111735800146,0.030026715567961076,0.11343461685250279,0.0717401890921103,0.01447198668681586,7.787185163548924e-7,-0.014022050293920844,0.015344316338477037,0.36092642849189094,0.9192210937719016,1.203062485890777e-6,0.5727404725742656
OID20425,2773,lmer,0.05167588658149725,0.02346686923361067,0.027905280890653226,0.22483556209772726,0.016601143233217985,5.734965840299419e-40,0.03307611191140978,0.01768622483301167,0.06161783060930934,0.8795999385725233,1.5754986044356395e-39,0.1686413098043176
OID20426,2773,lmer,-0.030096144951584993,0.02291082995506297,0.1893006583643367,0.036089922772991924,0.018123882002679892,0.0465915428292086,-0.0076009645029064855,0.01933278727427034,0.6942429620618571,0.9192210937719016,0.05688683362146062,0.8326927279880215
OID20427,2773,lm,0.015467620872984904,0.021658426244561484,0.47518756396977535,0.062291841525122967,0.019443684308746278,0.001372174458433878,0.010375129950627577,0.02076725862315112,0.6174031362140828,0.9192210937719016,0.0018551646355236934,0.7812421502830148
OID20428,2773,lmer,-0.009872914148089463,0.02524481132132832,0.6958231137746631,-0.016719316273461945,0.015875761356766358,0.29241302241136335,0.0014599306611913824,0.016889416671601334,0.931125525288887,0.9670887289493355,0.3254848684342784,0.9634432341793367
