protein,Nobs_fa,model_fa,beta_fa,SE_fa,P_fa,beta_time_fa,SE_time_fa,P_time_fa,beta_int_time_fa,SE_int_time_fa,P_int_time_fa,P_fa_fdr,P_time_fa_fdr,P_time_fa_int_fdr
OID20419,3496,lmer,0.001957762262078358,0.019483792174234692,0.9199788779308673,0.00883024688270091,0.016964044739928283,0.60274371533129,0.030983194982176415,0.017008690307327715,0.06863904075498305,0.9599801612448716,0.6310243122898856,0.2332744035278354
OID20420,3496,lmer,0.00375905269907965,0.027414835517007487,0.890961225707712,0.03222017590866917,0.010337423876487235,0.0018497459851660944,0.00902055946237036,0.010281531254437457,0.38038356807324525,0.9403405661674149,0.0024040940483061332,0.5796982114067236
OID20421,3496,lmer,0.02821585254806514,0.026388331133789692,0.2851728032568223,0.07850843867207971,0.01083342250946736,5.730478634586547e-13,-0.007375879641717744,0.010783926182828573,0.4940619208986222,0.5305920457795619,9.615493139435405e-13,0.6688943931388017
OID20422,3496,lmer,0.031479575055503646,0.024636160334554912,0.20157696866162125,0.03678553106897418,0.013064353797692838,0.004906480760872398,-0.008471421123147416,0.013039634982113218,0.5159705897564544,0.4599605615908813,0.006265462325919623,0.6846037375660989
OID20423,3496,lmer,-0.0021234912183847963,0.025406721941828695,0.9334047348628918,-0.025696312242516818,0.01263128796564637,0.04202781837442704,-0.03198338959281375,0.012598762085016315,0.011193596294978252,0.9681838325068249,0.05040923804203949,0.0881910565235079
OID20424,3496,lmer,-0.03582769666160746,0.024996564941754458,0.15203329768929255,0.07362772251977424,0.012457707663280738,3.901382367593514e-9,-0.02225555451045093,0.012425950623152906,0.07341277546180255,0.4050987503608041,6.085240480510053e-9,0.23971966968168087
OID20425,3496,lmer,-0.019283800673255476,0.020897332685939976,0.3563049812399205,0.2171458378431067,0.0148651039032211,2.2378873998920246e-46,0.013062388410672782,0.014880377268079963,0.3801266647718773,0.5945480016745835,5.919769113017546e-46,0.5796982114067236
OID20426,3496,lmer,-0.02428422627495908,0.020240866653732103,0.23047217941474413,0.04466411731385096,0.01624453493840968,0.006013401901174871,0.004580586897793334,0.01627763055743977,0.7784252176618347,0.48164025874896715,0.007642249459623543,0.8651471145344269
OID20427,3496,lm,-0.022480493497495087,0.018673855741700367,0.22872996616221808,0.039872179866551394,0.017182275266676834,0.02036911198445116,0.012900616180475494,0.01723368097913605,0.4541669926802202,0.48096165633441906,0.02504792357196077,0.6342714379380237
OID20428,3496,lmer,0.0073914393253911494,0.024253293065183815,0.7606022781843097,-0.0064293037650556524,0.013882008020784679,0.6433063757593189,0.01444669565344636,0.013866843771123452,0.2976038519959899,0.8756362580278603,0.6698911778925861,0.49341807111984026
OID20429,3496,lmer,-0.006756638593311206,0.02514160959886498,0.788173864309907,0.17749429142015252,0.009563700122251547,6.205868298204791e-72,-0.013605340555301406,0.009512798261622076,0.1527888182164163,0.8932752236921633,2.659787835139678e-71,0.3360632528755267
OID20430,3496,lmer,0.04324595550466874,0.02448750852619393,0.07764783323936288,-0.031822644724095496,0.013787987806912573,0.021083920145609343,0.016927379134206222,0.013770576388936756,0.21910381432504533,0.30629502909400497,0.025829127655329468,0.41265492865470843
OID20431,3496,lmer,-0.029723778078322476,0.023605985505329385,0.2082226344144806,0.05592043676001621,0.012982084437938675,1.7177285756484124e-5,0.009638898074075487,0.012962493700405338,0.4571936287375431,0.461786616383556,2.419720783913402e-5,0.6369766333650326
OID20432,3496,lmer,0.02942300140472282,0.028616609038895277,0.3040762566506177,0.006723414622994849,0.008210813364082747,0.41295544961734054,0.012410429354392743,0.008147139425579307,0.1278231009043458,0.5517162620668874,0.44558300803904216,0.308273039557263
OID20433,3496,lmer,-0.04151849958266285,0.019426057040492543,0.032782256358833174,0.1698368176222801,0.016193096313844215,3.384472712191611e-25,0.041448432368314726,0.016230717338606135,0.010720349082304454,0.21007919215448742,6.879564490776133e-25,0.08561633980212
OID20434,3496,lmer,-0.04794051813341209,0.023297083512779596,0.03982848465343175,-0.02370094756979605,0.014917579937314246,0.11223823798384212,-0.005978123550787011,0.014918179368073003,0.6886569966493824,0.22174982979424954,0.13008420683059896,0.8138257738086048
OID20435,3496,lmer,-0.03132502041677676,0.0231340146025722,0.17597144556394598,0.05845095620557545,0.014298907446994817,4.4972164433193125e-5,-0.031372807772743254,0.014294485085223978,0.02827827756106076,0.43516458154265153,6.23890064728161e-5,0.14825152229255836
OID20436,3496,lmer,-0.00975728259124861,0.021207447079850807,0.6455378504555853,0.23942621247464269,0.015191478593067303,2.43278303106839e-53,0.008595605192706862,0.015208034308235568,0.5719901251779633,0.8049878188370273,7.082694023718032e-53,0.7269248416935595
OID20437,3496,lmer,0.04252397683078256,0.02471743325947122,0.08561765299701354,-0.021610734806104977,0.013764906284809144,0.11654888000210446,-0.00910574378313233,0.013745941362786961,0.5077591991365336,0.3171868183907105,0.13465311314077127,0.6785853894777174
OID20438,3496,lmer,0.04531954151273149,0.02722765640618335,0.09628325893097175,-0.09969813721042019,0.009491337352030149,2.9271198827087093e-25,0.020944776484683975,0.009433056223530639,0.026489970453374905,0.33704906090446757,5.9623494196219915e-25,0.14338922895410158
OID20439,3496,lmer,-0.054975541196753484,0.022207789541391642,0.013444864108766753,0.11476937471226913,0.014583240654998249,5.320572838200866e-15,-0.01932885693292438,0.014587391059890556,0.1852867430175944,0.13999964179031107,9.251656398608643e-15,0.37633147831220637
OID20440,3496,lmer,0.009758525217157548,0.024057036149670315,0.6850788020829959,-0.03226227639462377,0.013956676293328718,0.020883326820119136,-0.014962437224941236,0.013943375921966785,0.28334187168233016,0.8302178020267815,0.025615595591778527,0.4779043802235724
OID20441,3496,lmer,-0.029883790158168343,0.023990344698279834,0.2131356893861176,0.008448173940743934,0.01358105173519581,0.5339639951637802,0.02031596126229237,0.013564663346410792,0.13434179909267097,0.46561705536294595,0.5635943790894714,0.31566003114781127
OID20442,3496,lmer,-0.027504891932894696,0.02037533561080842,0.17730146694962107,0.05132121316504934,0.01594708040486503,0.0013069512101015713,0.004504627842050632,0.01597641414859359,0.7780026145605042,0.4366067294808276,0.0017123345527238426,0.865006330300629
OID20443,3496,lmer,0.048685189009747096,0.028568589325660875,0.08861552159874798,0.037361513581152486,0.009286392079759698,5.919777476603733e-5,0.011778776379675431,0.009223658576366159,0.20172316705104715,0.3237789620414255,8.169740115256238e-5,0.39256778780972756
OID20444,3496,lmer,-0.01891145572044949,0.019618879339180575,0.3352716041299312,0.2714812785613271,0.015343572919457118,5.723772762843564e-66,0.019751028758969537,0.015371704700778992,0.19895402737842965,0.5788534547382096,2.123171038806058e-65,0.389739820661519
OID20445,3496,lmer,-0.03359257666664607,0.02310912269189711,0.1463128250384991,0.16846363749810647,0.013872796628140645,5.699785284166014e-33,-0.005701097466849747,0.013864427201923685,0.6809611314745765,0.39709599590300176,1.282561384574077e-32,0.8081402303289431
OID20446,3496,lmer,0.011865510709467446,0.024913015394871178,0.6339646061543677,-0.01809656939260864,0.013774716583031216,0.1890548641670811,0.028120804256031754,0.013754705276873684,0.041020089027552324,0.7966205514960963,0.21327957080678425,0.18531950576126033
OID20447,3496,lmer,-0.035478309798261054,0.01815283890394814,0.05088498547772637,0.36863183982196085,0.015288659610197073,2.6468050177869543e-115,0.029612013034364615,0.015325326342939039,0.05344960604048163,0.24955841032113116,4.77568584382177e-114,0.20912047148387208
OID20448,3496,lmer,0.011987292539073562,0.026538028368668004,0.6515661056631297,-0.0032192176992199323,0.01099560285154844,0.7697209538172104,-0.008383626401081012,0.010946388196035217,0.44382452474842804,0.8095733101428353,0.7902684748885513,0.6260824261070219
OID20449,3496,lmer,0.012947770144250519,0.02579368829437262,0.6157785020427364,0.017778909532778085,0.012319987478101204,0.14912414233250862,0.011313444196808206,0.01228303789093499,0.35711223018493843,0.7859915115593531,0.1702029941577207,0.5567141593763066
OID20450,3496,lmer,0.05230544806300438,0.023027567636699726,0.023299822006455258,-0.019684377667018544,0.015065235821625125,0.19147005110478238,0.01957425690029308,0.015068982682563799,0.1940784582144193,0.17739404821683608,0.21592089482225266,0.3838684713611792
OID20451,3496,lmer,-0.02719977775445053,0.01963076746448076,0.16613909793241813,0.2057449590724907,0.01600535626107578,1.2479783168865787e-36,0.013799964741897815,0.016039899092341204,0.38968146458403397,0.4237561808520578,2.9299924660718633e-36,0.5868441193650715
OID20452,3496,lmer,-0.023947460811764295,0.027877028936022768,0.3904932072559204,0.003490579512832632,0.010759624605848091,0.7456526497758318,-0.01570698640148503,0.010703876552967381,0.1423988829570046,0.618651297999488,0.7677149331788504,0.3269693125556358
OID20453,3496,lmer,-0.012538073124779095,0.024498633150629445,0.6088973909305526,0.002852130770985373,0.013696701051360661,0.835063353371464,-0.019913324270041374,0.013678391401971636,0.14557565991325247,0.7812937614558583,0.8492143317896268,0.32932679538133974
OID20454,3496,lmer,0.018702599764370456,0.028480512228614807,0.5115135697178939,-0.023546297254202764,0.010174224929019022,0.020735494945167646,-0.0198028323786035,0.010114031194792645,0.05035385209595721,0.7106246027972452,0.025445884046221248,0.20313928352553282
OID20455,3496,lmer,-0.04514200812186105,0.025512649101410163,0.07708209208089732,0.05026433770378554,0.012812856187384194,8.990983101313321e-5,-0.03427397641759722,0.012781235842681973,0.007378346575312808,0.3057136433547665,1.2315203188912295e-4,0.06760785905843053
OID20456,3496,lmer,-0.014247557740757016,0.027186105262104385,0.6003242440395606,-0.008493515782841157,0.010638442916061808,0.42472964070561237,-0.0225521346320474,0.010584756850711599,0.03322404033879927,0.777519494380895,0.4572687807670368,0.16406642050027756
OID20457,3496,lmer,-0.012810726030878595,0.02445023456940695,0.6004103649080216,0.11721386707376666,0.0124888116948382,1.4011209283370577e-20,-0.02205009239150541,0.01246023017160584,0.07691684667176875,0.777519494380895,2.6767820088426276e-20,0.24411285865535293
OID20458,3496,lmer,0.054606501976837245,0.023042849961656064,0.01795683599425777,0.15938759036913563,0.010592604719404883,5.689485350549448e-49,0.008208848663398167,0.010556563335804557,0.43687925175695086,0.163119263260713,1.5615366835357782e-48,0.6209190783987839
OID20459,3496,lmer,-0.04648501919695759,0.021011548521576405,0.027131800119815423,0.27093327280620283,0.014510611317046146,8.848423410012623e-73,0.041332441137735855,0.014521620939611493,0.004461479830250471,0.1907123377849688,3.837380063422388e-72,0.04615422316554265
OID20460,3496,lmer,-0.029184422463678073,0.018209442303149907,0.10926605661612092,0.30076085470946934,0.010696531347263078,1.1840555463390167e-150,-0.03996287900793286,0.010687706865180576,1.890424836190524e-4,0.3517452461331734,7.363817791380735e-149,0.004063023379547722
OID20461,3496,lmer,-0.004284472150959424,0.024540572631927653,0.8614336731282709,0.007867382342574685,0.012488922897273165,0.5287879031477035,0.00858937900637092,0.012459854292778192,0.4906618937315218,0.9277710488408017,0.5590043547561437,0.666142459534249
OID20462,3496,lmer,-0.03204008028616816,0.024568674540908338,0.19245235502406158,-0.036612464527841365,0.012776697586656418,0.004198874014889209,0.01527908682979659,0.012749886648651945,0.23089359110001917,0.4496708503080192,0.005378312333707782,0.4242485632815419
OID20463,3496,lmer,-0.036443282884228344,0.019517581816867392,0.062121191193777445,0.2933323256993684,0.015218414806862405,4.172259686644654e-77,0.018143723867489723,0.0152459483239129,0.23413854572395512,0.278861514184127,1.9797914065036236e-76,0.4272078459120604
OID20464,3496,lmer,-0.02968427224867989,0.02390940878466532,0.214655979381311,0.19750233111855406,0.01351495630037133,2.1175811977991244e-46,0.0026204218268586995,0.01349843694029557,0.8460925527533821,0.4677732627698515,5.60660311699895e-46,0.9099074803893068
