OlinkID,mb_present_6_nobs,mb_present_6_OR,mb_present_6_CI_lower,mb_present_6_CI_upper,mb_present_6_pvalue,mb_present_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,991,1.069326556823811,0.9269804146482584,1.2335312235939218,0.35774393946302707,0.8887807503804328,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,991,1.0007116189274765,0.871949564505833,1.148488152321053,0.9919232392378163,0.9987570197354935,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,991,1.047192361125479,0.9173482450395594,1.1954149878514957,0.49477525385339655,0.8958424123487057,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,991,0.9696120085314734,0.8407295437945559,1.1182519444305106,0.6715107416728527,0.9200196148855548,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,991,0.9197210467624249,0.7978497900038545,1.0602080923699735,0.24855451706263487,0.8887807503804328,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,991,1.0834105068896611,0.9551181230020286,1.2289352470347998,0.21280892419312017,0.8887807503804328,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,991,1.0034450646292281,0.8737135834641305,1.1524394455864528,0.9611663996689511,0.9871712530682868,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,991,0.9238414810546064,0.8067744973903549,1.057895465062295,0.2518495014623444,0.8887807503804328,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,991,0.9519698350252707,0.8314085129609624,1.090013576563646,0.4761832101453553,0.8958424123487057,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,991,1.2115390385163298,1.0432805175325837,1.4069340097719498,0.011889469412879513,0.6097003349797687,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,991,1.1400470389341435,0.9815747938533214,1.324104142772768,0.08607842752503143,0.8629462749645317,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,991,1.0365433267627806,0.90200047619033,1.1911546574724203,0.6128707076887122,0.9062559842424803,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,991,1.1229901026877362,0.9793128081342121,1.2877466323934583,0.09677120633416418,0.8629462749645317,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,991,1.0443919583173156,0.9101199516576427,1.1984734106874997,0.5361585098005333,0.9062559842424803,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
OID20433,991,0.926706013203809,0.809086330005245,1.0614244772897485,0.2716878999708021,0.8887807503804328,82.36731004574459,O95379,TNFAIP8,Inflammation,Unique Protein
