protein,Nobs_mb_present,model_mb_present,beta_mb_present,SE_mb_present,P_mb_present,beta_time_mb_present,SE_time_mb_present,P_time_mb_present,beta_int_time_mb_present,SE_int_time_mb_present,P_int_time_mb_present,P_mb_present_fdr,P_time_mb_present_fdr,P_time_mb_present_int_fdr
OID20419,2932,lmer,NA,NA,NA,0.0039033365771579793,0.022641996921643915,0.8631454827201392,NA,NA,NA,NA,0.8833943438343721,NA
OID20420,2932,lmer,NA,NA,NA,0.03556961702944477,0.013955394844562333,0.010884552620161683,NA,NA,NA,NA,0.014574231474453778,NA
OID20421,2932,lmer,NA,NA,NA,0.08296502482255365,0.014562836341920602,1.402830810217656e-8,NA,NA,NA,NA,2.4335159989710436e-8,NA
OID20422,2932,lmer,NA,NA,NA,0.024268672704142163,0.01714612524132505,0.15710882102450027,NA,NA,NA,NA,0.1854721663386972,NA
OID20423,2932,lmer,NA,NA,NA,-0.014631158255203511,0.01619904683831935,0.3665249112316097,NA,NA,NA,NA,0.4067396793963535,NA
OID20424,2932,lmer,NA,NA,NA,0.041606980764924806,0.01730520645631277,0.016294515737272638,NA,NA,NA,NA,0.021464114240670535,NA
OID20425,2932,lmer,NA,NA,NA,0.1974951396746723,0.01998615432230863,1.6345216749944268e-22,NA,NA,NA,NA,4.001429527645486e-22,NA
OID20426,2932,lmer,NA,NA,NA,0.0402502218182141,0.02168475135481625,0.06357987055511044,NA,NA,NA,NA,0.0787474413697406,NA
OID20427,2932,lm,NA,NA,NA,0.040746253593375685,0.02342579575010591,0.08207419484888202,NA,NA,NA,NA,0.10029384261842898,NA
OID20428,2932,lmer,NA,NA,NA,-0.036564766867789714,0.018746532395561784,0.051259743595156455,NA,NA,NA,NA,0.06405824306483211,NA
OID20429,2932,lmer,NA,NA,NA,0.16145771888720065,0.0128913173195397,1.1135271965942634e-34,NA,NA,NA,NA,3.7935198084440933e-34,NA
OID20430,2932,lmer,NA,NA,NA,-0.03868745305676994,0.018056979641828078,0.032273819786495905,NA,NA,NA,NA,0.041267005789994544,NA
OID20431,2932,lmer,NA,NA,NA,0.05166988158370136,0.017713801602895287,0.0035746720552021142,NA,NA,NA,NA,0.004989859798164174,NA
OID20432,2932,lmer,NA,NA,NA,0.006187263395388604,0.011175505501136036,0.579885264224802,NA,NA,NA,NA,0.6195192351349036,NA
OID20433,2932,lmer,NA,NA,NA,0.1621597302363861,0.021941336051224572,2.141276488693623e-13,NA,NA,NA,NA,4.28989114218743e-13,NA
OID20434,2932,lmer,NA,NA,NA,-0.04552567446985919,0.01989911674919317,0.022252579178449156,NA,NA,NA,NA,0.028921426829082653,NA
OID20435,2932,lmer,NA,NA,NA,0.020778740303826596,0.019380362484599206,0.28378082994743037,NA,NA,NA,NA,0.32172939094901554,NA
OID20436,2932,lmer,NA,NA,NA,0.2202677357915018,0.020212560993020903,6.7291698932162e-27,NA,NA,NA,NA,1.814516937072966e-26,NA
OID20437,2932,lmer,NA,NA,NA,-0.020492523510418036,0.017823223397655467,0.2503790738264706,NA,NA,NA,NA,0.2861055640323587,NA
OID20438,2932,lmer,NA,NA,NA,-0.0896204074615854,0.012642261360440086,1.8773110463531723e-12,NA,NA,NA,NA,3.660693921607954e-12,NA
OID20439,2932,lmer,NA,NA,NA,0.09635295784898282,0.01950969522463336,8.525238176787875e-7,NA,NA,NA,NA,1.396820134010704e-6,NA
OID20440,2932,lmer,NA,NA,NA,-0.06584615031300149,0.018763980107168038,4.594821755872254e-4,NA,NA,NA,NA,6.73553861204343e-4,NA
OID20441,2932,lmer,NA,NA,NA,0.010246742606815405,0.018501263464972433,0.5797508204662982,NA,NA,NA,NA,0.6195192351349036,NA
OID20442,2932,lmer,NA,NA,NA,0.04383820660455174,0.020902946093760567,0.036099497281169596,NA,NA,NA,NA,0.04603788418536594,NA
OID20443,2932,lmer,NA,NA,NA,0.04530103245337824,0.012622871972750168,3.403724949060947e-4,NA,NA,NA,NA,5.022255439730009e-4,NA
OID20444,2932,lmer,NA,NA,NA,0.2623224692381665,0.020280163501233097,8.323150761783652e-37,NA,NA,NA,NA,3.0372746163163066e-36,NA
OID20445,2932,lmer,NA,NA,NA,0.16646496679425757,0.018839099760822375,2.14522899202793e-18,NA,NA,NA,NA,4.8495779920322036e-18,NA
OID20446,2932,lmer,NA,NA,NA,-0.01523461558655804,0.018140806574023144,0.4011232394446209,NA,NA,NA,NA,0.4419461850345371,NA
OID20447,2932,lmer,NA,NA,NA,0.3603249312037018,0.02022686440663872,5.318322720909976e-66,NA,NA,NA,NA,8.313078777122919e-65,NA
OID20448,2932,lmer,NA,NA,NA,-0.00851630736190348,0.015402631936416932,0.5803861352893802,NA,NA,NA,NA,0.619827794465056,NA
OID20449,2932,lmer,NA,NA,NA,0.02646423730440334,0.01696411985703973,0.11891696756589142,NA,NA,NA,NA,0.14234000663190033,NA
OID20450,2932,lmer,NA,NA,NA,-0.051094047716461075,0.019510082833862335,0.008889712741267418,NA,NA,NA,NA,0.012018792942980881,NA
