OlinkID,wmh_6_nobs,wmh_6_beta,wmh_6_se,wmh_6_pvalue,wmh_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,948,0.005534063613835792,0.0286643248023696,0.846950425848482,0.9644537883246134,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,948,-0.038367139552616114,0.03076872743178347,0.212727540378383,0.820689083731335,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,948,-0.0026208932278005154,0.02843619658395774,0.9265847214409477,0.980432630224128,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,948,0.0037475681962067446,0.03225792935213612,0.9075387432246456,0.9759881333501246,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,948,2.0466356306931942e-4,0.030951169187107677,0.9947254657249832,0.9979864230231122,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,948,-0.0062302468871578,0.029630951396787127,0.8335094775823352,0.9618429541939068,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,948,0.027496786543231757,0.0311680813119862,0.3778903530556219,0.8512302216169279,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,948,0.04731423163277971,0.029673376856586702,0.11116215647320823,0.7828750180099703,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,948,0.009270235352713948,0.029693123939923127,0.7549571396222707,0.943838131694293,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,948,-0.02530222811262318,0.030083339657119998,0.4005233671226496,0.8571169681711508,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,948,0.034920440666560824,0.033420045525658776,0.2963418197695275,0.832451691208162,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,948,-0.008572269000497703,0.030612693366447223,0.7795215938039104,0.9472981863805574,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,948,-0.0051244329586598485,0.030418481202580366,0.8662543753205854,0.9644537883246134,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,948,-0.0617716023815147,0.029895319083484882,0.039078842017792575,0.6713510277056461,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
OID20433,948,0.008822008563491706,0.02927310942729056,0.7632001897616103,0.9465986141828874,82.36731004574459,O95379,TNFAIP8,Inflammation,Unique Protein
OID20434,948,0.055437277601900176,0.02747745828656205,0.043923242352410866,0.6874417413209971,48.03796732575595,Q8WV07,LTO1,Inflammation,Unique Protein
OID20435,948,0.083622497173923,0.030990894155938916,0.0070953458632028454,0.48631360689247827,29.017743628845672,O43707,ACTN4,Inflammation,Unique Protein
OID20436,948,0.012128139760106184,0.030353125111566275,0.6895660266190421,0.9260804688256491,54.69405784157634,P28838,LAP3,Inflammation,Unique Protein
OID20437,948,0.013585819406004155,0.03007679234754209,0.6515868191096692,0.914368000429275,20.55292359496504,Q9NP70,AMBN,Inflammation,Unique Protein
OID20438,948,-0.017165984223035575,0.030435360634118593,0.5728796760399473,0.8972999242740167,19.364964768188074,Q6UXK5,LRRN1,Inflammation,Unique Protein
OID20439,948,0.04420966723955869,0.0325657330079748,0.17493387445566774,0.820689083731335,22.640700870887816,Q9HCU5,PREB,Inflammation,Unique Protein
OID20440,948,1.2159800737377734e-4,0.028872675439251694,0.9966405981292521,0.9979864230231122,75.51413479301999,Q13007,IL24,Inflammation,Unique Protein
OID20441,948,0.03911488838705728,0.030515415932642245,0.20022828368069406,0.820689083731335,56.82637189594944,Q9UPV0,CEP164,Inflammation,Unique Protein
OID20442,948,0.004856653761574892,0.030371211789482388,0.8729867202083486,0.9644537883246134,44.44320334646435,O60934,NBN,Inflammation,Unique Protein
OID20443,948,-0.07777688879802536,0.02941094796540299,0.00831874113740127,0.48631360689247827,44.00918429661865,Q96P31,FCRL3,Inflammation,Unique Protein
OID20444,948,0.009344706068554054,0.03046673669425493,0.7591261541147689,0.9449390856779137,46.23530058211611,Q9Y478,PRKAB1,Inflammation,Unique Protein
OID20445,948,0.011958813219749839,0.029726984948557023,0.687564034830027,0.9260804688256491,49.70535334698695,Q8TCS8,PNPT1,Inflammation,Unique Protein
OID20446,948,-0.037341372011378327,0.028247755605670152,0.1865172883817474,0.820689083731335,45.46664449338745,Q5T4W7,ARTN,Inflammation,Unique Protein
OID20447,948,0.03930041034379438,0.030727733428834614,0.20121886164717728,0.820689083731335,38.675053486387775,Q5R372,RABGAP1L,Inflammation,Unique Protein
OID20448,948,-0.046082060774305156,0.029762467943726653,0.12188211210972796,0.7829921180148018,45.278415623434164,Q969V3,NCLN,Inflammation,Unique Protein
