Value,Feature
-21.09108855873289,(Intercept)
0.2775353441497233,BL_age
0,egfr
1.6052835438439083e-6,icv
0,gender
0,race
0,edu
0,smoking
0.4010235904017609,E4
0,OID20429
0,OID20435
-12.127305726351494,OID20449
4.127634273048622,OID20455
0,OID20460
0,OID20482
0.05809592755053184,OID20493
0,OID20501
0,OID20550
0,OID20617
0,OID20635
0,OID20662
0,OID20667
0,OID20673
0,OID20675
0,OID20678
21.183805157702427,OID20680
0,OID20688
0,OID20696
0,OID20701
0,OID20708
0,OID20713
0,OID20715
0,OID20727
0,OID20730
0,OID20733
0,OID20735
0,OID20737
0,OID20738
0,OID20739
0,OID20756
0,OID20758
0,OID20759
0,OID20764
0,OID20766
0,OID20768
0,OID20769
0,OID20771
0,OID20780
0,OID20782
0,OID20785
0,OID20786
0,OID30481
0,OID30483
0,OID30491
15.26059210480512,OID30545
0,OID30574
0,OID30576
0,OID30577
0,OID30598
0,OID30622
0,OID30625
2.7722835432509845,OID30650
0,OID30666
0,OID30672
0,OID30683
0,OID30689
0,OID30711
0,OID30748
0,OID30766
20.046621968533277,OID31048
0,OID31081
0,OID31089
0,OID31153
0,OID30211
-6.583249881059381,OID30221
0,OID30276
1.4950069541800493,OID30287
0,OID30301
0,OID30310
0,OID30322
0,OID30330
0,OID30334
0,OID30374
0,OID30378
0,OID30381
0,OID30387
0,OID30388
0,OID30393
0,OID30397
0,OID30400
0,OID30408
0,OID30410
0,OID30411
0,OID30413
0,OID30418
0,OID20049
0,OID20079
0,OID20081
0,OID20083
0,OID20106
0,OID20117
0.1480605561666532,OID20125
0,OID20137
0,OID20149
0,OID20155
6.2764258139254165,OID20165
0,OID20168
0,OID20169
0,OID20173
0,OID20182
0,OID20185
0,OID20197
0,OID20205
0,OID20212
0,OID20221
0,OID20224
0,OID20226
0,OID20236
0,OID20237
0,OID20242
0,OID20246
17.899157174942687,OID20248
0,OID20250
0,OID20251
0,OID20253
0,OID20254
0,OID20258
0,OID20276
0,OID20285
0,OID20292
-4.835802173278047,OID20293
0,OID20299
0,OID20322
0,OID20325
0,OID20326
0,OID20327
0.7210674600866558,OID20344
0,OID20346
0,OID20347
0,OID20348
0,OID20369
0,OID20383
5.3807143759989176,OID20391
0.006714860546521908,OID20392
0,OID20394
0,OID20396
3.226669579944855,OID20399
0,OID20401
0,OID20408
0,OID20413
7.715869779883299,OID20418
6.014044138433474,OID20801
0,OID20807
0,OID20871
0,OID20880
0,OID20896
0,OID20912
0,OID20914
0,OID20916
0,OID20919
0,OID20925
0,OID20935
0,OID20936
0,OID20938
0,OID20943
0,OID20946
0,OID20970
0,OID20974
0,OID20979
0,OID20981
0,OID20982
0,OID20984
0,OID20985
0,OID20999
0,OID21001
0,OID21008
0,OID21009
0,OID21010
0,OID21011
0.5070061016134798,OID21014
0,OID21024
0,OID21026
0,OID21033
0,OID21038
0,OID21040
0,OID21045
0,OID21048
0,OID21079
0,OID21082
0,OID21083
0,OID21090
0,OID21094
0,OID21104
0,OID21123
0,OID21130
0,OID21137
0,OID21142
0,OID21144
0,OID21145
0,OID21147
0,OID21148
0,OID21155
0,OID21158
0,OID21247
16.684547160345428,OID21262
0,OID21267
0,OID21282
0,OID21289
0,OID21291
0,OID21294
0,OID21306
0,OID21322
0,OID21342
0,OID21357
0,OID21364
0,OID21391
0,OID21407
0,OID21411
0,OID21415
0,OID21439
0,OID21444
0,OID21446
0,OID21447
0,OID21451
0,OID21454
0,OID21457
0,OID21461
0,OID21464
0,OID21486
0,OID21489
0,OID21490
0,OID21493
0,OID21505
0,OID21518
0,OID21527
0,OID21529
0,OID21531
0,OID31359
0,OID31402
0,OID31480
0,OID31495
