protein,Nobs_wmh,model_wmh,beta_wmh,SE_wmh,P_wmh,beta_time_wmh,SE_time_wmh,P_time_wmh,beta_int_time_wmh,SE_int_time_wmh,P_int_time_wmh,P_wmh_fdr,P_time_wmh_fdr,P_time_wmh_int_fdr
OID20419,2794,lmer,3.4099684463830584e-4,0.02195661880653451,0.98761231692991025,0.0013730479242104363,0.019313320673949995,0.9433308434825747,-0.01645418709140367,0.018621142415726533,0.3770093942384849,0.9999016157417211,0.9498298503270982,0.7245223269948003
OID20420,2794,lmer,0.019655860401470344,0.029574334285076036,0.5064537562576088,0.042849405440603144,0.01110956146649069,1.1861766992558283e-4,-0.0060744666618110605,0.010572345517737105,0.5656573439829659,0.9637176672984354,1.686378643932289e-4,0.8271217691156625
OID20421,2794,lmer,-0.01657459351797914,0.030168309038170627,0.5828597049261841,0.08303118914067875,0.012374583970542625,2.5617223224290512e-11,0.008897804374821686,0.011790036912499708,0.45053181415159904,0.9637176672984354,4.363586450151583e-11,0.7759435293935626
OID20422,2794,lmer,-0.01683210482829807,0.02655780245497256,0.5263731759403071,0.0390308239955773,0.014101418991790599,0.005696716489689228,-0.0025967948487208865,0.01348734834509287,0.8473437047381759,0.9637176672984354,0.007420455570125495,0.9487182633501979
OID20423,2794,lmer,-0.04211105430448509,0.028286142730877904,0.13689699301056737,-0.019747309139405443,0.013399008473722161,0.14070426195516433,0.022098339546929004,0.012792803252654713,0.08426274426579965,0.8976086573945987,0.16346524550673505,0.3558040467152069
OID20424,2794,lmer,-0.010090373942866014,0.028426833660230917,0.7227002110637273,0.07652142838947408,0.013977165591589768,4.957843563098091e-8,0.034523408812426555,0.013352416825379134,0.00979765373060719,0.9820305321966607,7.833392829694984e-8,0.08949544329551505
OID20425,2794,lmer,-0.015761199763710983,0.022223530287961465,0.4783725669756771,0.2261489436121319,0.016475755220541635,5.64413029122532e-41,0.030335962906330147,0.01584346091163557,0.055679661045227875,0.9637176672984354,1.5622909887548875e-40,0.27445472046408276
OID20426,2794,lmer,0.02709222299103311,0.021816258972029594,0.2146158266919946,0.03488478184378607,0.018043796432080515,0.05334119734311777,0.02755532838266417,0.01738098792875928,0.113051478539146,0.953965949702974,0.06474930225661679,0.4188206232825396
OID20427,2794,lm,0.02501495640090533,0.02057535094185481,0.22417466750372553,0.06434015857004778,0.01934150635702305,8.90773508814482e-4,-0.009741093216255919,0.01866636751547717,0.6018145224791822,0.9575273474331655,0.001212729839899735,0.8502193567939341
OID20428,2794,lmer,-0.01801782594489638,0.02401820515727104,0.45334216847423625,-0.015446086744370527,0.015789506092529437,0.32807393418817743,-0.030242226973614665,0.015154180845660298,0.04611927429137525,0.9637176672984354,0.36296749039819937,0.24122033477599306
OID20429,2794,lmer,0.03288069555979427,0.027823728478480653,0.23760454736513203,0.1740932826428244,0.010675635831121903,4.579241762018437e-56,0.029505440535302588,0.010162195811676046,0.003734326726418965,0.9575273474331655,1.777572864592283e-55,0.04787472377773085
